3 Biotech,http://link.springer.com/journal/13205
Accreditation and Quality Assurance,http://link.springer.com/journal/769
Acoustical Physics,http://link.springer.com/journal/11441
Acoustics Australia,http://link.springer.com/journal/40857
Acta Astronautica,http://www.sciencedirect.com/science/journal/00945765
Acta Biomaterialia,http://www.sciencedirect.com/science/journal/17427061
Acta Geodaetica et Geophysica,http://link.springer.com/journal/40328
Acta Geotechnica,http://link.springer.com/journal/11440
Acta Materialia,http://www.sciencedirect.com/science/journal/13596454
Acta Mechanica,http://link.springer.com/journal/707
Acta Mechanica Sinica,http://link.springer.com/journal/10409
Acta Mechanica Solida Sinica,http://link.springer.com/journal/10338
Acta Metallurgica et Materialia,http://www.sciencedirect.com/science/journal/09567151
Acta Metallurgica Sinica (English Letters),http://link.springer.com/journal/40195
Additive Manufacturing,http://www.sciencedirect.com/science/journal/22148604
Additives for Polymers,http://www.sciencedirect.com/science/journal/03063747
adhesion ADHESIVES + SEALANTS,http://link.springer.com/journal/35784
Adsorption,http://link.springer.com/journal/10450
Advanced Cement Based Materials,http://www.sciencedirect.com/science/journal/10657355
Advanced Drug Delivery Reviews,http://www.sciencedirect.com/science/journal/0169409X
Advanced Engineering Informatics,http://www.sciencedirect.com/science/journal/14740346
Advanced Powder Technology,http://www.sciencedirect.com/science/journal/09218831
Advances in Applied Mathematics,http://www.sciencedirect.com/science/journal/01968858
Advances in Atmospheric Sciences,http://link.springer.com/journal/376
Advances in Colloid and Interface Science,http://www.sciencedirect.com/science/journal/00018686
Advances in Engineering Software,http://www.sciencedirect.com/science/journal/09659978
Advances in Environmental Research,http://www.sciencedirect.com/science/journal/10930191
Advances in Manufacturing,http://link.springer.com/journal/40436
Advances in Space Research,http://www.sciencedirect.com/science/journal/02731177
Aerobiologia,http://link.springer.com/journal/10453
Aerosol Science and Engineering,http://link.springer.com/journal/41810
Aerospace Science and Technology,http://www.sciencedirect.com/science/journal/12709638
AEU - International Journal of Electronics and Communications,http://www.sciencedirect.com/science/journal/14348411
"Air Quality, Atmosphere & Health",http://link.springer.com/journal/11869
Amino Acids,http://link.springer.com/journal/726
Analytical and Bioanalytical Chemistry,http://link.springer.com/journal/216
Annals of Nuclear Energy,http://www.sciencedirect.com/science/journal/03064549
Annals of Physics,http://www.sciencedirect.com/science/journal/00034916
Annals of Pure and Applied Logic,http://www.sciencedirect.com/science/journal/01680072
Applied and Computational Harmonic Analysis,http://www.sciencedirect.com/science/journal/10635203
Applied Biochemistry and Biotechnology,http://link.springer.com/journal/12010
Applied Catalysis A: General,http://www.sciencedirect.com/science/journal/0926860X
Applied Catalysis B: Environmental,http://www.sciencedirect.com/science/journal/09263373
Applied Clay Science,http://www.sciencedirect.com/science/journal/01691317
Applied Composite Materials,http://link.springer.com/journal/10443
Applied Energy,http://www.sciencedirect.com/science/journal/03062619
Applied Ergonomics,http://www.sciencedirect.com/science/journal/00036870
Applied Geochemistry,http://www.sciencedirect.com/science/journal/08832927
Applied Materials Today,http://www.sciencedirect.com/science/journal/23529407
Applied Mathematical Modelling,http://www.sciencedirect.com/science/journal/0307904X
